CellId,Count,Count_SC,Count_EC,freq(morning),freq(afternoon),freq(evening),freq(night),Cell_Center_Lat,Cell_Center_Lng
46b54c88f,1,0,1,1.0,0.0,0.0,0.0,55.69860114190078,37.550408358258814
46b54cc1f,1,1,0,0.0,0.0,1.0,0.0,55.678214858899686,37.5619691482659
414aa3a4f,1,1,0,0.0,0.0,1.0,0.0,-1.0,-1.0
46b54b78f,1,0,1,0.0,1.0,0.0,0.0,55.71464656323693,37.57368526809915
46b54d35d,1,1,0,1.0,0.0,0.0,0.0,55.641935277752225,37.54082326255428
46b54b7ab,1,1,0,0.0,1.0,0.0,0.0,55.71232297409111,37.58924886815842
46b54d315,1,1,0,1.0,0.0,0.0,0.0,55.64572372747424,37.543846836501814
46b54cdcf,1,1,0,0.0,0.0,1.0,0.0,55.67063615344318,37.55591376488979
46b54d04d,1,1,0,0.0,1.0,0.0,0.0,55.66636905875653,37.513373813989354
46b54c999,1,1,0,0.0,0.0,1.0,0.0,55.69439405730464,37.575774353297255
46b54b675,1,1,0,1.0,0.0,0.0,0.0,55.70343853954381,37.60042983938207
414aacc29,1,1,0,0.0,0.0,0.0,1.0,-1.0,-1.0
46b54c609,1,1,0,0.0,0.0,1.0,0.0,55.69610495888502,37.530136966626
46b54cfff,1,0,1,1.0,0.0,0.0,0.0,55.677579153373365,37.509268713367774
46b54cf7d,1,1,0,0.0,0.0,1.0,0.0,55.686774691961844,37.52443120446703
46b54c7d7,1,0,1,1.0,0.0,0.0,0.0,55.70384565391625,37.54937508125659
46b54c957,1,1,0,0.0,1.0,0.0,0.0,55.68404601780471,37.568370397920376
413554edb,1,1,0,1.0,0.0,0.0,0.0,-1.0,-1.0
46b54d343,1,1,0,1.0,0.0,0.0,0.0,55.64295606243162,37.54250702864898
