,CarBrand,CarModel
655,Maruti Suzuki,Celerio
656,Maruti Suzuki,Celerio VDI
657,Maruti Suzuki,Celerio VXI O CNG
658,Maruti Suzuki,Celerio ZXI
659,Maruti Suzuki,ci
660,Maruti Suzuki,Ciaz
661,Maruti Suzuki,Ciaz Alpha
662,Maruti Suzuki,Ciaz delta petrol
663,Maruti Suzuki,Ciaz ZDi+ SHVS
664,Maruti Suzuki,ciaz zxi+
665,Maruti Suzuki,desire
666,Maruti Suzuki,desire tour
667,Maruti Suzuki,dezire
668,Maruti Suzuki,dezore
669,Maruti Suzuki,dizar 
670,Maruti Suzuki,dizer
671,Maruti Suzuki,dizir
672,Maruti Suzuki,dizre 
673,Maruti Suzuki,Dzire
674,Maruti Suzuki,dzire ldi
675,Maruti Suzuki ,Dzire vdi
676,Maruti Suzuki,dzire vxi
677,Maruti Suzuki,Dzire Zdi
678,maruti suzuki,dzire zxi+
679,Maruti Suzuki,ecco
680,Maruti Suzuki,eco
681,Maruti Suzuki,eeco
682,Maruti Suzuki,eltica
683,Maruti Suzuki,ertica
684,Maruti Suzuki,Ertiga
685,Maruti Suzuki ,Ertiga VDI 
686,Maruti Suzuki,Ertiga vxi
687,MARUTI Suzuki,Ertiga VXI Green
688,Maruti Suzuki,Ertiga Zxi
689,Maruti Suzuki,esteem
690,Maruti Suzuki,Esteem Vxi
691,Maruti Suzuki,Estilo
692,Maruti Suzuki,fronti
693,Maruti Suzuki,gixxer
694,Maruti Suzuki,Gypsy
695,Maruti Suzuki,Ignis
696,Maruti Suzuki,K10
697,Maruti Suzuki,kio
698,Maruti Suzuki,lxi
699,Maruti Suzuki,m800
700,Maruti Suzuki,maruthi 800
701,Maruti Suzuki,maruti 800
702,Maruti Suzuki,maruti drsar
703,Maruti Suzuki,maruti eeco
704,Maruti Suzuki,maruti zen estillo
705,Maruti Suzuki,maruty
706,Maruti Suzuki,Omani 
707,Maruti Suzuki,omni
708,Maruti Suzuki,omni E
709,Maruti Suzuki,omni-e
710,Maruti Suzuki,Omnil
711,Maruti Suzuki,petrol
712,Maruti Suzuki,retz 
713,Maruti Suzuki,Ritz
714,Maruti Suzuki,ritz lxi
715,Maruti Suzuki,Ritz VDI
716,Maruti Suzuki,ritz vxi
717,Maruti Suzuki,Ritz ZXI
718,Maruti Suzuki,s cross
719,Maruti Suzuki,scross
720,Maruti Suzuki,s-cross
721,Maruti Suzuki,S-Cross Hybrid Zeta
722,Maruti Suzuki,shift dzire
723,Maruti Suzuki,steem
724,Maruti Suzuki,Stingray
725,Maruti Suzuki,Suzuki swift 
726,Maruti Suzuki,sweft desayar
727,Maruti Suzuki,swfit dixair
728,Maruti Suzuki,Swift
729,Maruti Suzuki,swift desire
730,Maruti Suzuki,swift dezair 
731,Maruti Suzuki,swift dezire
732,Maruti Suzuki,swift DEZIRE 2015
733,Maruti Suzuki,swift dezire tour
734,Maruti Suzuki,swift dezire vxi
735,maruti suzuki,swift dezire zdi
736,maruti suzuki,swift dezr
737,Maruti Suzuki,Swift dizeer
738,Maruti Suzuki,swift dizer
739,Maruti Suzuki,swift dizire
740,Maruti Suzuki,swift DZire
741,Maruti Suzuki,swift dzire 2015
742,Maruti Suzuki,Swift Dzire 2016
743,Maruti Suzuki,swift dzire lxi
744,Maruti Suzuki,Swift Dzire Tour
745,Maruti Suzuki,Swift Dzire Tour S
746,Maruti Suzuki,Swift Dzire Tuor S
747,Maruti Suzuki,swift dzire vdi
748,Maruti Suzuki,swift dzire zdi
749,Maruti Suzuki,Swift Dzire ZXI
750,Maruti Suzuki,swift glory
751,Maruti Suzuki,swift ldi 
752,Maruti Suzuki,Swift Lxi 
753,Maruti Suzuki,swift vdi
754,Maruti Suzuki,swift vxi
755,Maruti Suzuki,Swift Vxi 2009
756,Maruti Suzuki,SWIFT VXI PETROL
757,Maruti Suzuki,swift zdi
758,Maruti Suzuki,swift zdi 2017
759,Maruti Suzuki,Swift Zxi
760,Maruti Suzuki,SX4
761,Maruti Suzuki,sx4 2008
762,Maruti Suzuki,sx4.zxi
763,Maruti Suzuki,Virata Breeza
764,Maruti Suzuki,Vitara Breeza
765,Maruti Suzuki,vitara brexza
766,Maruti Suzuki,Vitara Brezza
767,Maruti Suzuki,vitara brezza zdi+
768,Maruti Suzuki,vittara brezza
769,Maruti Suzuki,vvt
770,Maruti Suzuki,vvt-vxi
771,Maruti Suzuki,Vxi
772,maruti suzuki,wagan R
773,Maruti Suzuki,waganR
774,Maruti Suzuki,wagnar 
775,Maruti Suzuki,WagnoR
776,Maruti Suzuki,Wagnor Vxi
777,Maruti Suzuki,Wagon R
778,Maruti Suzuki,wagon r cng
779,Maruti Suzuki,wagon r duo
780,Maruti Suzuki,wagon R LXI
781,Maruti Suzuki,Wagon R LXI CNG
782,maruti suzuki,wagon r Lxi Green
783,Maruti Suzuki,Wagoner
784,Maruti Suzuki,Wagonr
785,Maruti Suzuki,WagonR Lxi
786,Maruti Suzuki,WagonR stingray
787,Maruti Suzuki,wagorn
788,Maruti Suzuki,Wragon R
789,Maruti Suzuki,zdi
790,Maruti Suzuki,zen
791,Maruti Suzuki,zen astilo
792,Maruti Suzuki,Zen Di
793,Maruti Suzuki,Zen Estillo
794,Maruti Suzuki,zen estilo
795,Maruti Suzuki,Zen Estilo CNG
796,Maruti Suzuki,zen vxi
797,Maruti Suzuki,Zxi
798,Maruti Suzuki ALTO,2007
799,Maruti Suzuki ciaz,2016
800,Maruti Suzuki Ertiga,2016
801,Maruti Suzuki Ertiga,CNG VXI
802,maruti suzuki wagnar,2016
803,Maruti Suzuki Zen ,2005 
804,Mazda,3
805,Mazda,3 Series
806,Mazda,Mazda 3
807,mercedes,
808,Mercedes-Benz,2016
809,Mercedes-Benz,2018
810,Mercedes-Benz,A class
811,Mercedes-Benz,c220
812,Mercedes-Benz,C-Class
813,Mercedes-Benz,E200
814,Mercedes-Benz,E300
815,Mercedes-Benz,G 
816,Mercedes-Benz,GLC 
817,Mercedes-Benz,GLE
818,Mercedes-Benz,Gle 350d
819,Mercedes-Benz,gls
820,Mercedes-Benz,S-Class
821,Mercedes-Benz,Sl
822,Mercedes-Benz,sls
823,Mitsubishi,
824,Mitsubishi,Gallant
825,Mitsubishi,lancer
826,Mitsubishi,pajero 
827,Mitsubishi,Pajero Sports
828,mustibishu lancer,lancer
829,nano,lx
830,nano lx,2012
831,Nexa,Baleno
832,nin,2018
833,Nissan,102
834,Nissan,2015
835,Nissan,2016
836,Nissan,2018
837,Nissan,Cabstar
838,Nissan,datsun
839,Nissan,Evalia
840,Nissan,ggggg
841,Nissan,Micra
842,Nissan,Micra Active
843,Nissan,Micra XV
844,Nissan,Micra xv 1.2
845,Nissan,micra xv premium
846,Nissan,RediGo 
847,Nissan,Rogue Sport
848,Nissan,Sunny
849,Nissan,sunny xl
850,Nissan ,Sunny Xv
851,Nissan,Terrano
852,NISSAN SUNNY,2012
853,No,No
854,no car,no no.
855,not bike ,hero Honda cbz
856,Nova,2008
857,omini,2011
858,opel,astra
859,Opel,Corsa
860,Opel,mark 22
861,optra ,2012
862,other,other
863,Piaggio,lml
864,piaggio,vespa
865,piaggio ape,auto
866,Po,Ii
867,polo,2011
868,pontiac,g6
869,Porsche,Macan
870,Porsche,Panamera
871,pulsar,150
872,pulsar,2015
873,Pulsar RS200,racesport200 
874,pulsor,150 cc
875,qualis,2004
876,Qualis,2005
877,Range Rover ,2017
878,Renault,2013
879,Renault,2014
880,Renault,2016
881,Renault,2017
882,Renault,2018
883,Renault,captur
884,Renault,Datsun
885,Renault,Duster
886,Renault,Duster AMT
887,Renault,duster cvt
888,renault,duster rxz
889,Renault,Duster RXZ 110 PS
890,Renault,koleos
891,Renault,Kwid
892,Renault,Kwid 0.8
893,Renault,Kwid 1.0
894,Renault,kwid climber
895,Renault,Kwid RXL
896,renault,kwid rxt
897,Renault,kwid Rxt 1.0
898,Renault,kwid2016
899,Renault,loddgy
900,Renault,Lodge
901,Renault,Lodgy
902,Renault,Lodgy Stepway 110PS
903,Renault,Pulse
904,Renault,RXL
905,Renault,Rxt
906,Renault,Scala
907,ritz,2011
908,Ritz,2016
909,Ritz,Lxi
910,royal enfidld,classic 350
911,royal enfield ,2016
912,royal enfield,bullet 350
913,Royal Enfield,Classic 350
914,Royal Enfield,Himalayan
915,royal Enfield ,standard 350
916,Royal Enfield,std 350
917,Royal Enfield ,Thunderbird 
918,Royal Enfield,Thunderbird 350
919,SANTRO ,2009
920,santro ,2014
921,scarpio,s5
922,Scion ,tC 
923,Scorpio,2007
924,Scorpio,2009
925,Scorpio ,2014
926,scorpio,ex
927,shift Dezar,2017
928,Skoda,2010
929,Skoda,2012
930,Skoda,Fabia
931,Skoda,laura
932,Skoda,Octavia
933,Skoda,Rap
934,Skoda,Rapid
935,Skoda,Rapid DSG
936,Skoda,Superb
937,Sonalika ,Rhino Rx
938,spazaro sport,2016
939,string,string
940,suzhuki,alto
941,suzuki,2017
942,Suzuki,Access 125
943,suzuki,baleno
944,suzuki,ertiga vdi
945,Suzuki,gixxer sf fi abs
946,Suzuki,Grand Vitara
947,suzuki,ritz
948,suzuki,solio
949,suzuki,swift
950,Suzuki,Swift vdi
951,Suzuki,wagon R
952,Suzuki ,Wagon R LXI
953,swift ,2006
954,swift,2007
955,Swift,2010
956,Swift,2013
957,swift ,2014
958,Swift ,2016 
959,swift,dzire
960,swift ,Maruti
961,swift ,swift
962,Swift Desire ,2018
963,Swift Dezire ,2017 
964,swift dezire,lxi
965,Swift Dizre,2014
966,Swift Dzire,2008
967,swift VDI,2015
968,sx4,2007
969,Tata,2004
970,Tata,2007
971,Tata,2008
972,Tata,2009
973,Tata,2010
974,Tata,2011
975,Tata,2012
976,Tata,2013
977,Tata,2014
978,Tata,2015
979,Tata,2016
980,Tata,2017
981,Tata,2018
982,Tata,407
983,Tata,909
984,Tata,Ace
985,Tata,Ace mega
986,Tata,ace zip xl
987,Tata,bolt
988,Tata,Bolt XT RT
989,Tata,Ecs2012
990,Tata,Grande
991,Tata,Hexa
992,Tata,Hexa XMA
993,Tata,Hexa XTA
994,Tata,ht
995,tata,indiaca
996,Tata,Indica
997,Tata,Indica DLS
998,Tata,indica ev2
999,Tata,Indica LS
1000,Tata,Indica V2 
1001,Tata,indica v2 ls
1002,Tata,indica v2 turbo
1003,Tata,indica vista
1004,Tata,Indica Vista LS
1005,Tata,Indica Vista petrol
1006,Tata,indigo
1007,Tata,indigo 2017
1008,Tata,indigo cs
1009,Tata,Indigo ecs
1010,Tata,Indigo eCS ABS
1011,Tata,indigo ecs vx
1012,Tata,indigo LS
1013,Tata,indigo lx
1014,Tata,Indigo LX TDI
1015,Tata,indigo Manza
1016,Tata,indigo marina
1017,Tata,indigoecs
1018,Tata,Manza
1019,Tata,Manza ( Safire) 
1020,Tata,mega xl
1021,Tata,Nano
1022,Tata,Nano twist xt
1023,Tata,neno
1024,tata,nexon
1025,Tata,nexon XZ+
1026,Tata ,sad
1027,Tata,Safari 
1028,Tata,safari dicor
1029,Tata,Safari DiCOR/ Storme
1030,Tata,Safari Storme
1031,Tata ,sumo
1032,Tata,sumo gold
1033,Tata,sumo grande
1034,Tata,sumo victa
1035,Tata,SUMO VICTA DI
1036,Tata,Swift
