std_accX_end,mean_accX_end,median_accX_end,max_angleX_diff
1.967031649,-0.767037964,-0.983413696,43.30430212
0.189800359,0.000866535,0.014144897,81.74514481
5.056674409,2.949746565,-0.379492551,85.51817516
0,8.363202095,8.363202095,0
0.37512147,0.333729589,0.412094116,72.98081316
0.441288457,0.456978189,0.371536255,88.39248408
0.443893961,-0.683728886,-0.829391479,81.51365187
0.266508781,-0.54292786,-0.592018127,54.97844641
0.219327682,0.050641217,0.109649658,88.72079931
0,-0.699707031,-0.699707031,0
1.378481638,0.540135948,0.659011841,36.81415432
1.530820792,-2.61892285,-3.297409058,35.83677235
1.511788361,-0.616452747,-1.237205505,24.99159614
0.471783272,0.267467443,0.513397217,72.28384661
1.753177911,1.208735568,0.868499756,43.41037767
2.087343278,0.891413906,0.688934326,59.17240184
4.146969375,-0.187542468,-0.602737427,67.3091682
0,-3.867233276,-3.867233276,0
0.192348964,0.001962109,0.015762329,89.51529312
2.164460143,-0.825879874,-0.02873042,87.34789109
0.20793833,0.095759983,0.053405762,88.44573081
1.497232835,-1.351209494,-0.835868835,35.30412669
0.500401581,4.677814364,4.851997852,0
0.11471271,-0.026254634,-0.085388184,86.07992073
2.277162129,-0.885140453,-0.242446899,84.07822442
2.647593155,0.292820963,-0.141944885,84.51725352
0.152353834,-1.777099955,-1.761999965,0.681973207
0.225776174,-1.531666676,-1.60800004,3.624183975
0.179500716,0.041639093,-0.022888184,89.61443256
0.248156832,-0.036356069,-0.010818481,89.50865375
2.614958589,3.313823639,3.172802687,82.52878771
1.040967718,-0.995701748,-1.378999949,46.51668246
0.36626278,0.48477633,0.516548157,88.72894066
0.265304484,0.084593549,0.002868652,89.7326675
0.876651646,-0.555986833,-0.459686726,32.19928563
0.402638306,0.027330433,0.019622803,86.06573361
0.382384055,-1.276500007,-1.187000036,5.905241472
2.189291031,-0.58031581,-1.225000024,40.6636195
0.320088077,0.025584792,-0.01335144,89.42591154
4.238111152,1.824388892,-0.267499998,70.84123102
3.854664272,-2.515888893,-3.447000027,72.20316351
0,-0.229000002,-0.229000002,0
0.016802013,-0.004586956,-0.018999999,45.27657485
0.725564483,-0.066740414,-0.021548472,69.95202851
0.142472957,-1.279020104,-1.296829224,0
4.125460832,-0.697969396,-0.611999989,60.55625277
4.981899091,3.010081812,4.690368652,84.5927746
1.255696025,-1.381344846,-1.149000049,27.63200208
0.160995113,0.131841291,0.176391602,19.72985961
0.210699278,0.093177619,0.093887329,84.92047349
0.290210414,-0.218957901,-0.239082336,87.67290917
0.365422397,0.118703393,-0.006118774,86.13093497
0.423852223,0.125201255,0.032974243,86.69450631
0.405082719,-0.544865552,-0.786872864,41.13818345
0.403592601,-1.44669445,-1.531999946,10.47775438
2.624976421,-0.562694101,-0.004364014,82.31199933
0.989659729,-0.134088229,0.296000004,16.47229124
0,-0.04145813,-0.04145813,0
0.390709523,0.445904333,0.457191467,81.14119809
0,0.008,0.008,0
0.272725486,-0.286336665,-0.359085083,83.9725813
0.224113512,0.009413749,-0.006637573,78.90231752
0.451040665,-0.265700774,-0.03679657,89.17835452
2.856577014,0.393290202,0.397674561,60.42655294
0.068246611,-0.013472114,-0.004981995,79.89206567
0.244447507,-0.004657004,-0.00352478,89.83176421
0,-0.371112585,-0.371112585,0
0,-3.101999998,-3.101999998,0
0.429535698,-1.321104179,-1.302000046,19.69785997
0.26974209,0.089940284,0.014297485,79.95928087
0,0.152999997,0.152999997,0
0,-1.431732655,-1.431732655,0
0,-1.312022567,-1.312022567,0
0,0.038307227,0.038307227,0
0.030882388,0.081746419,0.081100464,0
1.877018599,-1.468650034,-1.225000024,32.59999889
0.126769021,-0.09226617,-0.089660645,69.17564933
0,-2.126051188,-2.126051188,0
3.394466366,-1.142766325,-0.986411095,88.86731018
0.372013159,0.08200577,0.079498291,84.58489842
3.942553917,2.988970531,1.973327637,30.53809768
0.246777885,0.688115907,0.766983032,22.75792358
0.262897668,0.078152283,0.095306396,87.78577234
0,-1.761999965,-1.761999965,0
2.219766689,0.566844441,1.225000024,64.28994271
0.247819234,0.144629282,-0.017364502,31.06382786
0.231350984,0.146600719,0.081253052,80.68498298
4.87912761,8.360988289,7.968146324,88.42135957
