Latitude,Longitude,Date
55.64542796,37.56070611,2018-09-02 22:00:54.316574
55.64322526,37.55660343,2018-09-02 22:01:16.116034
55.64168352,37.55142081,2018-09-02 22:01:40.119553
55.63993908,37.54691363,2018-09-02 22:02:01.968801
55.63829466,37.54221241,2018-09-02 22:02:54.616644
55.63884858,37.5384971,2018-09-02 22:06:18.311680
55.63884786,37.53820038,2018-09-02 22:17:10.795299
55.63884786,37.53820038,2018-09-03 07:55:01.942209
55.64014783,37.53466326,2018-09-03 07:55:09.318427
55.64217326,37.52812986,2018-09-03 07:56:43.968055
55.64372156,37.52378879,2018-09-03 08:01:03.732613
55.64556973,37.51940933,2018-09-03 08:01:31.940484
55.64739564,37.51506524,2018-09-03 08:02:46.649483
55.64946983,37.51018463,2018-09-03 08:04:47.969642
55.65159636,37.50506856,2018-09-03 08:05:15.143275
55.65362357,37.50029306,2018-09-03 08:05:35.784468
55.65640124,37.49750834,2018-09-03 08:07:39.410576
55.65875853,37.50214781,2018-09-03 08:07:59.587321
55.66089357,37.5053652,2018-09-03 08:08:32.259634
55.66334494,37.5089063,2018-09-03 08:10:32.550760
55.66555332,37.51232277,2018-09-03 08:10:54.568570
55.66790872,37.51570486,2018-09-03 08:12:14.540567
55.67030749,37.51925251,2018-09-03 08:14:37.408195
55.67301082,37.52323039,2018-09-03 08:15:29.005701
55.6754412,37.52688775,2018-09-03 08:15:54.341070
55.6782304,37.53096353,2018-09-03 08:16:22.369057
55.68078726,37.53470647,2018-09-03 08:16:50.947533
55.68324211,37.53833081,2018-09-03 08:18:00.669304
55.68567793,37.54192564,2018-09-03 08:19:35.733812
55.6881964,37.54564502,2018-09-03 08:20:42.077113
55.69063176,37.54991778,2018-09-03 08:21:12.024966
55.69302844,37.55410505,2018-09-03 08:22:09.728292
55.69627128,37.55464593,2018-09-03 08:23:40.626139
55.69829148,37.55127364,2018-09-03 08:24:06.495184
55.70047933,37.54747421,2018-09-03 08:24:36.456077
55.70162857,37.54765039,2018-09-03 08:25:01.055354
55.70432344,37.5511842,2018-09-03 08:25:36.196436
55.70694098,37.55477208,2018-09-03 08:26:12.320503
55.70962914,37.55842768,2018-09-03 08:26:58.954110
55.71220351,37.56193433,2018-09-03 08:27:36.568791
55.71503827,37.56578824,2018-09-03 08:28:17.714624
55.71700014,37.57044473,2018-09-03 08:28:54.526578
55.71604092,37.57571527,2018-09-03 08:29:31.616083
55.7134836,37.57315485,2018-09-03 08:31:01.592134
55.71390944,37.57199102,2018-09-03 08:39:16.943905
55.71303458,37.57021096,2018-09-03 12:11:47.123560
55.71303458,37.57021096,2018-09-03 12:13:53.675288
55.71303458,37.57021096,2018-09-03 12:13:53.831502
55.71673667,37.56866908,2018-09-03 12:14:25.262817
55.71497943,37.56542413,2018-09-03 12:15:46.435617
55.71245243,37.56201752,2018-09-03 12:16:12.695919
55.71015013,37.55890559,2018-09-03 12:16:36.198257
55.70728641,37.55500432,2018-09-03 12:17:05.001611
55.70406652,37.55058986,2018-09-03 12:17:29.493458
55.70158922,37.54683006,2018-09-03 12:18:03.080656
55.7032941,37.54249816,2018-09-03 12:18:33.661048
55.70287052,37.5369659,2018-09-03 12:20:02.638937
55.7007364,37.53309966,2018-09-03 12:20:37.611669
55.69879632,37.52962494,2018-09-03 12:21:42.245059
55.69870787,37.52989271,2018-09-03 12:27:47.828917
55.69944465,37.53130014,2018-09-03 12:37:06.749114
55.69944465,37.53130014,2018-09-03 13:06:01.451404
55.69944465,37.53130014,2018-09-03 13:06:01.657374
55.69652588,37.53850882,2018-09-03 13:11:25.286002
55.69652588,37.53850882,2018-09-03 13:26:26.572321
55.69652588,37.53850882,2018-09-03 13:26:26.837933
55.69973887,37.53089237,2018-09-03 13:31:30.697468
55.69879448,37.52793171,2018-09-03 13:33:34.502935
55.69879448,37.52793171,2018-09-03 13:33:34.674807
55.69932765,37.52776466,2018-09-03 13:35:32.292148
55.69666087,37.52961732,2018-09-03 13:37:55.267941
55.69420266,37.53379242,2018-09-03 13:38:19.021470
55.69134955,37.53206508,2018-09-03 13:39:27.685728
55.68929238,37.52839951,2018-09-03 13:39:52.691347
55.68733164,37.52488263,2018-09-03 13:40:14.755790
55.68525197,37.52108621,2018-09-03 13:41:24.783398
55.6823418,37.51577244,2018-09-03 13:41:43.748797
55.68049819,37.51237826,2018-09-03 13:42:07.439269
55.67792117,37.515044,2018-09-03 13:43:50.632492
55.67609921,37.51891629,2018-09-03 13:44:21.480780
55.67410216,37.52315931,2018-09-03 13:44:50.469547
55.67215519,37.52735113,2018-09-03 13:47:13.346017
55.66942309,37.53081634,2018-09-03 13:47:40.676412
55.66829991,37.53562783,2018-09-03 13:48:13.914262
55.66859913,37.54097768,2018-09-03 13:48:38.656125
55.66589567,37.5411833,2018-09-03 13:49:19.253921
55.66237699,37.53819807,2018-09-03 13:49:47.151577
55.66042285,37.53408234,2018-09-03 13:50:29.736222
55.65848054,37.52925414,2018-09-03 13:50:57.875110
55.65692349,37.52494601,2018-09-03 13:53:38.814589
55.65430016,37.52372561,2018-09-03 13:55:24.666741
55.6524363,37.5280083,2018-09-03 13:56:02.483232
55.64954258,37.52988165,2018-09-03 13:56:51.150905
55.64671228,37.52796069,2018-09-03 13:57:22.598070
55.64433637,37.52541708,2018-09-03 14:01:58.371813
55.64434363,37.5255764,2018-09-03 14:05:31.661106
55.64436735,37.52563759,2018-09-03 14:06:59.126818
55.64436735,37.52563759,2018-09-03 14:34:35.039017
55.64436735,37.52563759,2018-09-03 14:34:35.226550
55.63958582,37.5373278,2018-09-03 14:40:51.986797
55.63869885,37.53969992,2018-09-03 14:47:20.281888
55.63863723,37.53976026,2018-09-03 14:47:29.111548
55.63863723,37.53976026,2018-09-04 08:04:30.246333
55.63863723,37.53976026,2018-09-04 08:04:31.355744
55.64191845,37.52881617,2018-09-04 08:04:32.340167
55.64191845,37.52881617,2018-09-04 08:04:32.871445
55.64331138,37.52445356,2018-09-04 08:08:07.131513
55.64524217,37.51990236,2018-09-04 08:08:36.266947
55.64703806,37.5157104,2018-09-04 08:10:49.288380
55.64876558,37.51160331,2018-09-04 08:12:50.652213
55.65064311,37.5071582,2018-09-04 08:13:51.611587
55.65246129,37.50302279,2018-09-04 08:15:58.904746
55.65429548,37.49855242,2018-09-04 08:20:27.652354
55.6570555,37.49885632,2018-09-04 08:23:33.123927
55.6594812,37.50336814,2018-09-04 08:24:01.019004
55.66278241,37.50827564,2018-09-04 08:25:27.284870
55.6651447,37.51181649,2018-09-04 08:25:52.654103
55.66756103,37.51542015,2018-09-04 08:28:17.601365
55.66972207,37.51860819,2018-09-04 08:30:38.738021
55.67101078,37.51967308,2018-09-04 08:32:36.819641
55.67421671,37.52521959,2018-09-04 08:33:18.974907
55.67666102,37.52884254,2018-09-04 08:33:47.805879
55.67917062,37.5325302,2018-09-04 08:34:16.655301
55.67933972,37.53277175,2018-09-04 08:34:27.874613
55.68145267,37.53584387,2018-09-04 08:36:12.429361
55.68389555,37.53944461,2018-09-04 08:38:09.623111
55.68634327,37.54311258,2018-09-04 08:39:55.264903
55.688752,37.54683302,2018-09-04 08:41:24.406199
55.69093036,37.55057662,2018-09-04 08:42:36.281195
55.69323748,37.55462878,2018-09-04 08:43:48.586327
55.69611542,37.55486987,2018-09-04 08:47:22.954408
55.69832378,37.55105041,2018-09-04 08:48:18.246634
55.69815901,37.55077392,2018-09-04 08:53:50.317311
55.69815901,37.55077392,2018-09-04 08:55:33.885983
55.69815901,37.55077392,2018-09-04 08:55:33.885983
55.71794975,37.57025376,2018-09-04 08:56:19.194766
55.71649278,37.57467126,2018-09-04 08:57:53.234345
55.71361465,37.57365436,2018-09-04 08:59:21.825237
55.71372428,37.5725107,2018-09-04 09:04:30.898043
