0|iata_code|1|icao_code|2|name_eng|3|city_eng|4|country_eng|5|latitude|6|longitude
ACK|ACK|KACK|KACK|Nantucket Memorial|Nantucket Memorial|Nantucket|Nantucket|United States|United States|41.253111|41.253111|-70.060306|-70.060306
ACL|ACL|||Aguaclara|Aguaclara|Aguaclara|Aguaclara|Colombia|Colombia|4.749|4.749|-72.994|-72.994
ACM|ACM|||Arica|Arica|Arica|Arica|Colombia|Colombia|-2.133|-2.133|-71.783|-71.783
ACN|ACN|MMCC|MMCC|International|International|Ciudad Acuna|Ciudad Acuna|Mexico|Mexico|29.333917|29.333917|-101.100892|-101.100892
ACO|ACO|LSZD|LSZD|Ascona|Ascona|Ascona|Ascona|Switzerland|Switzerland|46.157778|46.157778|8.781944|8.781944
ACP|ACP|OITM|OITM|Sahand|Sahand|Sahand|Sahand|Iran|Iran|37.348017|37.348017|46.127903|46.127903
ACR|ACR|SKAC|SKAC|Araracuara|Araracuara|Araracuara|Araracuara|Colombia|Colombia|-0.601111|-0.601111|-72.397778|-72.397778
ACS|ACS|UNKS|UNKS|Achinsk|Achinsk|Achinsk|Achinsk|Russian Federation|Russian Federation|56.268333|56.268333|90.570833|90.570833
ACT|ACT|KACT|KACT|Municipal|Municipal|Waco|Waco|United States|United States|31.611700|31.611700|-97.230284|-97.230284
ACU|ACU|||Achutupo|Achutupo|Achutupo|Achutupo|Panama|Panama|9.183|9.183|-78.017|-78.017
ACV|ACV|KACV|KACV|Arcata|Arcata|Arcata|Arcata|United States|United States|40.978111|40.978111|-124.108611|-124.108611
ACX|ACX|ZUYI|ZUYI|Xingyi|Xingyi|Xingyi|Xingyi|China|China|25.155|25.155|104.971|104.971
ACY|ACY|KACY|KACY|Atlantic City Intl|Atlantic City Intl|Atlantic City|Atlantic City|United States|United States|39.457583|39.457583|-74.577167|-74.577167
ACZ|ACZ|OIZB|OIZB|Zabol A/P|Zabol A/P|Zabol|Zabol|Iran|Iran|31.098333|31.098333|61.543889|61.543889
ADA|ADA|LTAF|LTAF|Adana|Adana|Adana|Adana|Turkey|Turkey|36.982166|36.982166|35.280388|35.280388
ADB|ADB|LTBJ|LTBJ|Adnan Menderes|Adnan Menderes|Izmir|Izmir|Turkey|Turkey|38.292392|38.292392|27.156953|27.156953
ADC|ADC|KADC|KADC|Andakombe|Andakombe|Andakombe|Andakombe|Papua New Guinea|Papua New Guinea|46.450270|46.450270|-95.210955|-95.210955
ADD|ADD|HAAB|HAAB|Bole International|Bole International|Addis Ababa|Addis Ababa|Ethiopia|Ethiopia|8.977889|8.977889|38.799319|38.799319
ADE|ADE|OYAA|OYAA|International|International|Aden|Aden|Yemen|Yemen|12.829542|12.829542|45.028792|45.028792
ADF|ADF|LTCP|LTCP|Adiyaman|Adiyaman|Adiyaman|Adiyaman|Turkey|Turkey|37.731369|37.731369|38.468936|38.468936
ADG|ADG|KADG|KADG|Lenawee County|Lenawee County|Adrian|Adrian|United States|United States|41.867674|41.867674|-84.077306|-84.077306
ADH|ADH|UEEA|UEEA|Aldan|Aldan|Aldan|Aldan|Russian Federation|Russian Federation|58.602778|58.602778|125.408889|125.408889
ADI|ADI|FYAR|FYAR|Arandis|Arandis|Arandis|Arandis|Namibia|Namibia|-22.462223|-22.462223|14.980000|14.980000
ADJ|ADJ|OJAM|OJAM|Marka International Airport|Marka International Airport|Amman|Amman|Jordan|Jordan|31.972703|31.972703|35.991569|35.991569
ADK|ADK|PADK|PADK|Adak Island NS|Adak Island NS|Adak Island|Adak Island|United States|United States|51.877964|51.877964|-176.646031|-176.646031
ADL|ADL|YPAD|YPAD|Adelaide International Airport|Adelaide International Airport|Adelaide|Adelaide|Australia|Australia|-34.945000|-34.945000|138.530556|138.530556
ADM|ADM|KADM|KADM|Ardmore Municipal Arpt|Ardmore Municipal Arpt|Ardmore|Ardmore|United States|United States|34.304250|34.304250|-97.020583|-97.020583
ADN|ADN|SKAN|SKAN|Andes|Andes|Andes|Andes|Colombia|Colombia|5.656|5.656|-75.879|-75.879
ADO|ADO|YAMK|YAMK|Andamooka|Andamooka|Andamooka|Andamooka|Australia|Australia|-30.437778|-30.437778|137.137222|137.137222
ADP|ADP|VCCA|VCCA|Ampara|Ampara|Ampara|Ampara|Sri Lanka|Sri Lanka|8.301486|8.301486|80.427900|80.427900
ADQ|ADQ|PADQ|PADQ|Kodiak Airport|Kodiak Airport|Kodiak|Kodiak|United States|United States|57.749968|57.749968|-152.493855|-152.493855
ADR|ADR|KPHH|KPHH|Andrews|Andrews|Andrews|Andrews|United States|United States|33.451700|33.451700|-79.526177|-79.526177
ADS|ADS|KADS|KADS|Addison Airport|Addison Airport|Dallas|Dallas|United States|United States|32.968559|32.968559|-96.836448|-96.836448
ADT|ADT|KADH|KADH|Ada|Ada|Ada|Ada|United States|United States|34.804262|34.804262|-96.671200|-96.671200
ADU|ADU|OITL|OITL|Ardabil|Ardabil|Ardabil|Ardabil|Iran|Iran|38.325678|38.325678|48.424356|48.424356
ADV|ADV|EGWA|EGWA|Andover|Andover|Andover|Andover|United Kingdom|United Kingdom|51.207|51.207|-1.528|-1.528
ADW|ADW|KADW|KADW|Andrews AFB|Andrews AFB|Camp Springs|Camp Springs|United States|United States|38.810833|38.810833|-76.867000|-76.867000
ADX|ADX|EGQL|EGQL|Leuchars|Leuchars|St Andrews|St Andrews|United Kingdom|United Kingdom|56.372889|56.372889|-2.868444|-2.868444
ADY|ADY|FAAL|FAAL|Alldays|Alldays|Alldays|Alldays|South Africa|South Africa|-22.679017|-22.679017|29.055517|29.055517
ADZ|ADZ|SKSP|SKSP|San Andres Island|San Andres Island|San Andres Island|San Andres Island|Colombia|Colombia|12.583683|12.583683|-81.710919|-81.710919
AEA|AEA|NGTB|NGTB|Abemama Atoll|Abemama Atoll|Abemama Atoll|Abemama Atoll|Kiribati|Kiribati|0.490833|0.490833|173.828611|173.828611
AED|AED|KTDO|KTDO|Aleneva|Aleneva|Aleneva|Aleneva|United States|United States|58.03333333|58.03333333|-152.9|-152.9
AEG|AEG|WIME|WIME|Aek Godang|Aek Godang|Aek Godang|Aek Godang|Indonesia|Indonesia|1.400103|1.400103|99.430453|99.430453
AEH|AEH|FTTC|FTTC|Abecher|Abecher|Abecher|Abecher|Chad|Chad|13.847000|13.847000|20.844333|20.844333
AEI|AEI|OPKC|OPKC|Algeciras|Algeciras|Algeciras|Algeciras|Spain|Spain|0|0|0|0
AEK|AEK|||Aseki|Aseki|Aseki|Aseki|Papua New Guinea|Papua New Guinea|-7.350|-7.350|146.183|146.183
AEL|AEL|KAEL|KAEL|Albert Lea|Albert Lea|Albert Lea|Albert Lea|United States|United States|43.681528|43.681528|-93.367250|-93.367250
AEO|AEO|GQNA|GQNA|Aioun El Atrouss|Aioun El Atrouss|Aioun El Atrouss|Aioun El Atrouss|Mauritania|Mauritania|16.711293|16.711293|-9.637883|-9.637883
AEP|AEP|SABE|SABE|Arpt. Jorge Newbery|Arpt. Jorge Newbery|Buenos Aires|Buenos Aires|Argentina|Argentina|-34.559175|-34.559175|-58.415606|-58.415606
AER|AER|URSS|URSS|Adler - Sochi|Adler - Sochi|Adler|Adler|Russian Federation|Russian Federation|43.449928|43.449928|39.956589|39.956589
AES|AES|ENAL|ENAL|Vigra|Vigra|Aalesund|Aalesund|Norway|Norway|62.560372|62.560372|6.110164|6.110164
AET|AET|PFAL|PFAL|Allakaket|Allakaket|Allakaket|Allakaket|United States|United States|66.551833|66.551833|-152.622167|-152.622167
AEU|AEU|OIBA|OIBA|Abu Musa|Abu Musa|Abu Musa|Abu Musa|Iran|Iran|25.875742|25.875742|55.032994|55.032994
AEX|AEX|KAEX|KAEX|Alexandria International|Alexandria International|Alexandria, LA|Alexandria, LA|United States|United States|31.327372|31.327372|-92.548556|-92.548556
AEY|AEY|BIAR|BIAR|Akureyri|Akureyri|Akureyri|Akureyri|Iceland|Iceland|65.658610|65.658610|-18.072222|-18.072222
AFA|AFA|SAMR|SAMR|San Rafael|San Rafael|San Rafael|San Rafael|Argentina|Argentina|-34.588314|-34.588314|-68.403854|-68.403854
AFD|AFD|FAPA|FAPA|Port Alfred|Port Alfred|Port Alfred|Port Alfred|South Africa|South Africa|-33.554167|-33.554167|26.879722|26.879722
AFF|AFF|KAFF|KAFF|USAF Academy Airstrip|USAF Academy Airstrip|Colorado Springs|Colorado Springs|United States|United States|38.969715|38.969715|-104.812831|-104.812831
AFI|AFI|SKAM|SKAM|Amalfi|Amalfi|Amalfi|Amalfi|Colombia|Colombia|6.916667|6.916667|-75.066667|-75.066667
AFK|AFK|KAFK|KAFK|Kondavattavan Tank|Kondavattavan Tank|Ampara|Ampara|Sri Lanka|Sri Lanka|40.605444|40.605444|-95.867750|-95.867750
AFL|AFL|SBAT|SBAT|Alta Floresta|Alta Floresta|Alta Floresta|Alta Floresta|Brazil|Brazil|-9.866092|-9.866092|-56.106206|-56.106206
AFN|AFN|KAFN|KAFN|Municipal|Municipal|Jaffrey|Jaffrey|United States|United States|42.805134|42.805134|-72.003022|-72.003022
AFO|AFO|KAFO|KAFO|Municipal|Municipal|Afton|Afton|United States|United States|42.708778|42.708778|-110.942167|-110.942167
AFR|AFR|||Afore|Afore|Afore|Afore|Papua New Guinea|Papua New Guinea|-9.133|-9.133|148.383|148.383
AFS|AFS|UTSN|UTSN|Zarafshan|Zarafshan|Zarafshan|Zarafshan|Uzbekistan|Uzbekistan|41.613611|41.613611|64.232777|64.232777
AFT|AFT|AGAF|AGAF|Afutara Aerodrome|Afutara Aerodrome|Afutara|Afutara|Solomon Islands|Solomon Islands|-9.191111|-9.191111|160.949167|160.949167
AFW|AFW|KAFW|KAFW|Fort Worth Alliance|Fort Worth Alliance|Fort Worth, TX|Fort Worth, TX|United States|United States|32.987639|32.987639|-97.318806|-97.318806
AFY|AFY|LTAH|LTAH|Afyon|Afyon|Afyon|Afyon|Turkey|Turkey|38.726425|38.726425|30.601114|30.601114
AFZ|AFZ|OIMS|OIMS|Sabzevar|Sabzevar|Sabzevar|Sabzevar|Iran|Iran|36.168083|36.168083|57.595183|57.595183
AGA|AGA|GMAD|GMAD|Agadir Almassira|Agadir Almassira|Agadir|Agadir|Morocco|Morocco|30.324997|30.324997|-9.413067|-9.413067
AGB|AGB|EDMA|EDMA|Augsburg - Muehlhausen|Augsburg - Muehlhausen|Munich|Munich|Germany|Germany|48.425158|48.425158|10.931764|10.931764
AGC|AGC|KAGC|KAGC|Allegheny County|Allegheny County|Pittsburgh|Pittsburgh|United States|United States|40.354401|40.354401|-79.930169|-79.930169
AGD|AGD|WASG|WASG|Anggi|Anggi|Anggi|Anggi|Indonesia|Indonesia|-1.383|-1.383|133.867|133.867
AGE|AGE|EDWG|EDWG|Flugplatz|Flugplatz|Wangerooge|Wangerooge|Germany|Germany|53.788333|53.788333|7.920556|7.920556
AGF|AGF|LFBA|LFBA|La Garenne|La Garenne|Agen|Agen|France|France|44.174714|44.174714|0.590619|0.590619
AGG|AGG|||Angoram|Angoram|Angoram|Angoram|Papua New Guinea|Papua New Guinea|-4.050|-4.050|144.067|144.067
AGH|AGH|ESTA|ESTA|Angelholm|Angelholm|Angelholm/Helsingborg|Angelholm/Helsingborg|Sweden|Sweden|56.296072|56.296072|12.847139|12.847139
AGI|AGI|SMWA|SMWA|Wageningen|Wageningen|Wageningen|Wageningen|Suriname|Suriname|5.833|5.833|-56.650|-56.650
AGJ|AGJ|RORA|RORA|Aguni|Aguni|Aguni|Aguni|Japan|Japan|26.592499|26.592499|127.240833|127.240833
AGK|AGK|||Kagua|Kagua|Kagua|Kagua|Papua New Guinea|Papua New Guinea|-6.383|-6.383|143.850|143.850
AGL|AGL|||Wanigela|Wanigela|Wanigela|Wanigela|Papua New Guinea|Papua New Guinea|-9.333|-9.333|149.150|149.150
AGM|AGM|BGAM|BGAM|Tasiilaq|Tasiilaq|Tasiilaq|Tasiilaq|Greenland|Greenland|65.612222|65.612222|-37.618333|-37.618333
AGN|AGN|PAGN|PAGN|Angoon|Angoon|Angoon|Angoon|United States|United States|57.503555|57.503555|-134.585094|-134.585094
AGO|AGO|KAGO|KAGO|Municipal|Municipal|Magnolia|Magnolia|United States|United States|33.227468|33.227468|-93.216992|-93.216992
AGP|AGP|LEMG|LEMG|Pablo Ruiz Picasso|Pablo Ruiz Picasso|Malaga|Malaga|Spain|Spain|36.674900|36.674900|-4.499106|-4.499106
AGQ|AGQ|LGAG|LGAG|Agrinion|Agrinion|Agrinion|Agrinion|Greece|Greece|38.602022|38.602022|21.351208|21.351208
AGR|AGR|VIAG|VIAG|Kheria|Kheria|Agra|Agra|India|India|27.155831|27.155831|77.960892|77.960892
AGS|AGS|KAGS|KAGS|Bush Field|Bush Field|Augusta|Augusta|United States|United States|33.369943|33.369943|-81.964500|-81.964500
